05AD,0596,֭,֖,HEBREW ACCENT DEHI,BREW ACCENT TIPEHA
05C4,0307,ׄ,̇,HEBREW MARK UPPER DOT,MBINING DOT ABOVE
06EC,0307,۬,̇,ARABIC ROUNDED HIGH STOP WITH FILLED CENTRE,MBINING DOT ABOVE
0740,0307,݀,̇,SYRIAC FEMININE DOT,MBINING DOT ABOVE
08EA,0307,࣪,̇,ARABIC TONE ONE DOT ABOVE,MBINING DOT ABOVE
0741,0307,݁,̇,SYRIAC QUSHSHAYA,MBINING DOT ABOVE
0358,0307,͘,̇,COMBINING DOT ABOVE RIGHT,MBINING DOT ABOVE
05B9,0307,ֹ,̇,HEBREW POINT HOLAM,MBINING DOT ABOVE
05BA,0307,ֺ,̇,HEBREW POINT HOLAM HASER FOR VAV,MBINING DOT ABOVE
05C2,0307,ׂ,̇,HEBREW POINT SIN DOT,MBINING DOT ABOVE
05C1,0307,ׁ,̇,HEBREW POINT SHIN DOT,MBINING DOT ABOVE
07ED,0307,߭,̇,NKO COMBINING SHORT RISING TONE,MBINING DOT ABOVE
0902,0307,ं,̇,DEVANAGARI SIGN ANUSVARA,MBINING DOT ABOVE
0A02,0307,ਂ,̇,GURMUKHI SIGN BINDI,MBINING DOT ABOVE
0A82,0307,ં,̇,GUJARATI SIGN ANUSVARA,MBINING DOT ABOVE
0BCD,0307,்,̇,TAMIL SIGN VIRAMA,MBINING DOT ABOVE
0337,0338,̷,̸,COMBINING SHORT SOLIDUS OVERLAY,MBINING LONG SOLIDUS OVERLAY
1AB7,0328,᪷,̨,COMBINING OPEN MARK BELOW,MBINING OGONEK
0322,0328,̢,̨,COMBINING RETROFLEX HOOK BELOW,MBINING OGONEK
0345,0328,ͅ,̨,COMBINING GREEK YPOGEGRAMMENI,MBINING OGONEK
1CD2,0304,᳒,̄,VEDIC TONE PRENKHA,MBINING MACRON
0305,0304,̅,̄,COMBINING OVERLINE,MBINING MACRON
0659,0304,ٙ,̄,ARABIC ZWARAKAY,MBINING MACRON
07EB,0304,߫,̄,NKO COMBINING SHORT HIGH TONE,MBINING MACRON
A6F1,0304,꛱,̄,BAMUM COMBINING MARK TUKWENTIS,MBINING MACRON
1CDA,030E,᳚,̎,VEDIC TONE DOUBLE SVARITA,MBINING DOUBLE VERTICAL LINE ABOVE
0657,0312,ٗ,̒,ARABIC INVERTED DAMMA,MBINING TURNED COMMA ABOVE
0357,0350,͗,͐,COMBINING RIGHT HALF RING ABOVE,MBINING RIGHT ARROWHEAD ABOVE
08FF,0350,ࣿ,͐,ARABIC MARK SIDEWAYS NOON GHUNNA,MBINING RIGHT ARROWHEAD ABOVE
08F8,0350,ࣸ,͐,ARABIC RIGHT ARROWHEAD ABOVE,MBINING RIGHT ARROWHEAD ABOVE
0900,0352,ऀ,͒,DEVANAGARI SIGN INVERTED CANDRABINDU,MBINING FERMATA
1CED,0316,᳭,̖,VEDIC SIGN TIRYAK,MBINING GRAVE ACCENT BELOW
1CDC,0329,᳜,̩,VEDIC TONE KATHAKA ANUDATTA,MBINING VERTICAL LINE BELOW
0656,0329,ٖ,̩,ARABIC SUBSCRIPT ALEF,MBINING VERTICAL LINE BELOW
1CD5,032B,᳕,̫,VEDIC TONE YAJURVEDIC AGGRAVATED INDEPENDENT SVARITA,MBINING INVERTED DOUBLE ARCH BELOW
0347,0333,͇,̳,COMBINING EQUALS SIGN BELOW,MBINING DOUBLE LOW LINE
08F9,0354,ࣹ,͔,ARABIC LEFT ARROWHEAD BELOW,MBINING LEFT ARROWHEAD BELOW
08FA,0355,ࣺ,͕,ARABIC RIGHT ARROWHEAD BELOW,MBINING RIGHT ARROWHEAD BELOW
309B,FF9E,゛,ﾞ,KATAKANA-HIRAGANA VOICED SOUND MARK,LFWIDTH KATAKANA VOICED SOUND MARK
309C,FF9F,゜,ﾟ,KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK,LFWIDTH KATAKANA SEMI-VOICED SOUND MARK
0336,0335,̶,̵,COMBINING LONG STROKE OVERLAY,MBINING SHORT STROKE OVERLAY
302C,0309,〬,̉,IDEOGRAPHIC DEPARTING TONE MARK,MBINING HOOK ABOVE
05C5,0323,ׅ,̣,HEBREW MARK LOWER DOT,MBINING DOT BELOW
08ED,0323,࣭,̣,ARABIC TONE ONE DOT BELOW,MBINING DOT BELOW
1CDD,0323,᳝,̣,VEDIC TONE DOT BELOW,MBINING DOT BELOW
05B4,0323,ִ,̣,HEBREW POINT HIRIQ,MBINING DOT BELOW
065C,0323,ٜ,̣,ARABIC VOWEL SIGN DOT BELOW,MBINING DOT BELOW
093C,0323,़,̣,DEVANAGARI SIGN NUKTA,MBINING DOT BELOW
09BC,0323,়,̣,BENGALI SIGN NUKTA,MBINING DOT BELOW
0A3C,0323,਼,̣,GURMUKHI SIGN NUKTA,MBINING DOT BELOW
0ABC,0323,઼,̣,GUJARATI SIGN NUKTA,MBINING DOT BELOW
0B3C,0323,଼,̣,ORIYA SIGN NUKTA,MBINING DOT BELOW
111CA,0323,𑇊,̣,SHARADA SIGN NUKTA,MBINING DOT BELOW
114C3,0323,𑓃,̣,TIRHUTA SIGN NUKTA,MBINING DOT BELOW
10A3A,0323,𐨺,̣,KHAROSHTHI SIGN DOT BELOW,MBINING DOT BELOW
08EE,0324,࣮,̤,ARABIC TONE TWO DOTS BELOW,MBINING DIAERESIS BELOW
1CDE,0324,᳞,̤,VEDIC TONE TWO DOTS BELOW,MBINING DIAERESIS BELOW
0F37,0325,༷,̥,TIBETAN MARK NGAS BZUNG SGOR RTAGS,MBINING RING BELOW
302D,0325,〭,̥,IDEOGRAPHIC ENTERING TONE MARK,MBINING RING BELOW
0327,0326,̧,̦,COMBINING CEDILLA,MBINING COMMA BELOW
0321,0326,̡,̦,COMBINING PALATALIZED HOOK BELOW,MBINING COMMA BELOW
0339,0326,̹,̦,COMBINING RIGHT HALF RING BELOW,MBINING COMMA BELOW
1CD9,032D,᳙,̭,VEDIC TONE YAJURVEDIC KATHAKA INDEPENDENT SVARITA SCHROEDER,MBINING CIRCUMFLEX ACCENT BELOW
1CD8,032E,᳘,̮,VEDIC TONE CANDRA BELOW,MBINING BREVE BELOW
0952,0331,॒,̱,DEVANAGARI STRESS SIGN ANUDATTA,MBINING MACRON BELOW
0320,0331,̠,̱,COMBINING MINUS SIGN BELOW,MBINING MACRON BELOW
08F1,064C,ࣱ,ٌ,ARABIC OPEN DAMMATAN,ABIC DAMMATAN
08E8,064C,ࣨ,ٌ,ARABIC CURLY DAMMATAN,ABIC DAMMATAN
08E5,064C,ࣥ,ٌ,ARABIC CURLY DAMMA,ABIC DAMMATAN
FC5E,FE72 0651,‎ﱞ‎,‎ﹲّ‎,ARABIC LIGATURE SHADDA WITH DAMMATAN ISOLATED FORM,ABIC DAMMATAN ISOLATED FORM, ARABIC SHADDA
08F2,064D,ࣲ,ٍ,ARABIC OPEN KASRATAN,ABIC KASRATAN
FC5F,FE74 0651,‎ﱟ‎,‎ﹴّ‎,ARABIC LIGATURE SHADDA WITH KASRATAN ISOLATED FORM,ABIC KASRATAN ISOLATED FORM, ARABIC SHADDA
FCF2,FE77 0651,‎ﳲ‎,‎ﹷّ‎,ARABIC LIGATURE SHADDA WITH FATHA MEDIAL FORM,ABIC FATHA MEDIAL FORM, ARABIC SHADDA
FC60,FE76 0651,‎ﱠ‎,‎ﹶّ‎,ARABIC LIGATURE SHADDA WITH FATHA ISOLATED FORM,ABIC FATHA ISOLATED FORM, ARABIC SHADDA
FCF3,FE79 0651,‎ﳳ‎,‎ﹹّ‎,ARABIC LIGATURE SHADDA WITH DAMMA MEDIAL FORM,ABIC DAMMA MEDIAL FORM, ARABIC SHADDA
FC61,FE78 0651,‎ﱡ‎,‎ﹸّ‎,ARABIC LIGATURE SHADDA WITH DAMMA ISOLATED FORM,ABIC DAMMA ISOLATED FORM, ARABIC SHADDA
061A,0650,ؚ,ِ,ARABIC SMALL KASRA,ABIC KASRA
0317,0650,̗,ِ,COMBINING ACUTE ACCENT BELOW,ABIC KASRA
FCF4,FE7B 0651,‎ﳴ‎,‎ﹻّ‎,ARABIC LIGATURE SHADDA WITH KASRA MEDIAL FORM,ABIC KASRA MEDIAL FORM, ARABIC SHADDA
FC62,FE7A 0651,‎ﱢ‎,‎ﹺّ‎,ARABIC LIGATURE SHADDA WITH KASRA ISOLATED FORM,ABIC KASRA ISOLATED FORM, ARABIC SHADDA
FC63,FE7C 0670,‎ﱣ‎,‎ﹼٰ‎,ARABIC LIGATURE SHADDA WITH SUPERSCRIPT ALEF ISOLATED FORM,ABIC SHADDA ISOLATED FORM, ARABIC LETTER SUPERSCRIPT ALEF
065F,0655,ٟ,ٕ,ARABIC WAVY HAMZA BELOW,ABIC HAMZA BELOW
030D,0670,̍,ٰ,COMBINING VERTICAL LINE ABOVE,ABIC LETTER SUPERSCRIPT ALEF
0742,073C,݂,ܼ,SYRIAC RUKKAKHA,RIAC HBASA-ESASA DOTTED
0A03,0983,ਃ,ঃ,GURMUKHI SIGN VISARGA,NGALI SIGN VISARGA
0C03,0983,ః,ঃ,TELUGU SIGN VISARGA,NGALI SIGN VISARGA
0C83,0983,ಃ,ঃ,KANNADA SIGN VISARGA,NGALI SIGN VISARGA
0D03,0983,ഃ,ঃ,MALAYALAM SIGN VISARGA,NGALI SIGN VISARGA
0D83,0983,ඃ,ঃ,SINHALA SIGN VISARGAYA,NGALI SIGN VISARGA
1038,0983,း,ঃ,MYANMAR SIGN VISARGA,NGALI SIGN VISARGA
114C1,0983,𑓁,ঃ,TIRHUTA SIGN VISARGA,NGALI SIGN VISARGA
17CB,0E48,់,่,KHMER SIGN BANTOC,AI CHARACTER MAI EK
0EC8,0E48,່,่,LAO TONE MAI EK,AI CHARACTER MAI EK
0EC9,0E49,້,้,LAO TONE MAI THO,AI CHARACTER MAI THO
0ECA,0E4A,໊,๊,LAO TONE MAI TI,AI CHARACTER MAI TRI
0ECB,0E4B,໋,๋,LAO TONE MAI CATAWA,AI CHARACTER MAI CHATTAWA
A66F,20E9,꙯,⃩,COMBINING CYRILLIC VZMET,MBINING WIDE BRIDGE ABOVE
2028,0020,,,LINE SEPARATOR,ACE
2029,0020,,,PARAGRAPH SEPARATOR,ACE
1680,0020,,,OGHAM SPACE MARK,ACE
2000,0020,,,EN QUAD,ACE
2001,0020,,,EM QUAD,ACE
2002,0020,,,EN SPACE,ACE
2003,0020,,,EM SPACE,ACE
2004,0020,,,THREE-PER-EM SPACE,ACE
2005,0020,,,FOUR-PER-EM SPACE,ACE
2006,0020,,,SIX-PER-EM SPACE,ACE
2008,0020,,,PUNCTUATION SPACE,ACE
2009,0020,,,THIN SPACE,ACE
200A,0020,,,HAIR SPACE,ACE
205F,0020,,,MEDIUM MATHEMATICAL SPACE,ACE
00A0,0020,,,NO-BREAK SPACE,ACE
2007,0020,,,FIGURE SPACE,ACE
202F,0020,,,NARROW NO-BREAK SPACE,ACE
07FA,005F,‎ߺ‎,_,NKO LAJANYALAN,W LINE
FE4D,005F,﹍,_,DASHED LOW LINE,W LINE
FE4E,005F,﹎,_,CENTRELINE LOW LINE,W LINE
FE4F,005F,﹏,_,WAVY LOW LINE,W LINE
2010,002D,‐,-,HYPHEN,PHEN-MINUS
2011,002D,‑,-,NON-BREAKING HYPHEN,PHEN-MINUS
2012,002D,‒,-,FIGURE DASH,PHEN-MINUS
2013,002D,–,-,EN DASH,PHEN-MINUS
FE58,002D,﹘,-,SMALL EM DASH,PHEN-MINUS
06D4,002D,‎۔‎,-,ARABIC FULL STOP,PHEN-MINUS
2043,002D,⁃,-,HYPHEN BULLET,PHEN-MINUS
02D7,002D,˗,-,MODIFIER LETTER MINUS SIGN,PHEN-MINUS
2212,002D,−,-,MINUS SIGN,PHEN-MINUS
2796,002D,➖,-,HEAVY MINUS SIGN,PHEN-MINUS
2CBA,002D,Ⲻ,-,COPTIC CAPITAL LETTER DIALECT-P NI,PHEN-MINUS
2A29,002D 0313,⨩,-̓,MINUS SIGN WITH COMMA ABOVE,PHEN-MINUS, COMBINING COMMA ABOVE
2E1A,002D 0308,⸚,-̈,HYPHEN WITH DIAERESIS,PHEN-MINUS, COMBINING DIAERESIS
FB29,002D 0307,﬩,-̇,HEBREW LETTER ALTERNATIVE PLUS SIGN,PHEN-MINUS, COMBINING DOT ABOVE
2238,002D 0307,∸,-̇,DOT MINUS,PHEN-MINUS, COMBINING DOT ABOVE
2A2A,002D 0323,⨪,-̣,MINUS SIGN WITH DOT BELOW,PHEN-MINUS, COMBINING DOT BELOW
A4FE,002D 002E,꓾,-.,LISU PUNCTUATION COMMA,PHEN-MINUS, FULL STOP
FF5E,301C,～,〜,FULLWIDTH TILDE,VE DASH
060D,002C,‎؍‎,,,ARABIC DATE SEPARATOR,MMA
066B,002C,‎٫‎,,,ARABIC DECIMAL SEPARATOR,MMA
201A,002C,‚,,,SINGLE LOW-9 QUOTATION MARK,MMA
00B8,002C,¸,,,CEDILLA,MMA
A4F9,002C,ꓹ,,,LISU LETTER TONE NA PO,MMA
2E32,060C,⸲,،,TURNED COMMA,ABIC COMMA
066C,060C,‎٬‎,،,ARABIC THOUSANDS SEPARATOR,ABIC COMMA
037E,003B,;,;,GREEK QUESTION MARK,MICOLON
2E35,061B,⸵,‎؛‎,TURNED SEMICOLON,ABIC SEMICOLON
0903,003A,ः,:,DEVANAGARI SIGN VISARGA,LON
0A83,003A,ઃ,:,GUJARATI SIGN VISARGA,LON
FF1A,003A,：,:,FULLWIDTH COLON,LON
0589,003A,։,:,ARMENIAN FULL STOP,LON
0703,003A,‎܃‎,:,SYRIAC SUPRALINEAR COLON,LON
0704,003A,‎܄‎,:,SYRIAC SUBLINEAR COLON,LON
16EC,003A,᛬,:,RUNIC MULTIPLE PUNCTUATION,LON
FE30,003A,︰,:,PRESENTATION FORM FOR VERTICAL TWO DOT LEADER,LON
1803,003A,᠃,:,MONGOLIAN FULL STOP,LON
1809,003A,᠉,:,MONGOLIAN MANCHU FULL STOP,LON
205A,003A,⁚,:,TWO DOT PUNCTUATION,LON
05C3,003A,‎׃‎,:,HEBREW PUNCTUATION SOF PASUQ,LON
02F8,003A,˸,:,MODIFIER LETTER RAISED COLON,LON
A789,003A,꞉,:,MODIFIER LETTER COLON,LON
2236,003A,∶,:,RATIO,LON
02D0,003A,ː,:,MODIFIER LETTER TRIANGULAR COLON,LON
A4FD,003A,ꓽ,:,LISU LETTER TONE MYA JEU,LON
2A74,003A 003A 003D,⩴,::=,DOUBLE COLON EQUAL,LON, COLON, EQUALS SIGN
29F4,003A 2192,⧴,:→,RULE-DELAYED,LON, RIGHTWARDS ARROW
FF01,0021,！,!,FULLWIDTH EXCLAMATION MARK,CLAMATION MARK
01C3,0021,ǃ,!,LATIN LETTER RETROFLEX CLICK,CLAMATION MARK
2D51,0021,ⵑ,!,TIFINAGH LETTER TUAREG YANG,CLAMATION MARK
203C,0021 0021,‼,!!,DOUBLE EXCLAMATION MARK,CLAMATION MARK, EXCLAMATION MARK
2049,0021 003F,⁉,!?,EXCLAMATION QUESTION MARK,CLAMATION MARK, QUESTION MARK
0294,003F,ʔ,?,LATIN LETTER GLOTTAL STOP,ESTION MARK
0241,003F,Ɂ,?,LATIN CAPITAL LETTER GLOTTAL STOP,ESTION MARK
097D,003F,ॽ,?,DEVANAGARI LETTER GLOTTAL STOP,ESTION MARK
13AE,003F,Ꭾ,?,CHEROKEE LETTER HE,ESTION MARK
A6EB,003F,ꛫ,?,BAMUM LETTER NTUU,ESTION MARK
2048,003F 0021,⁈,?!,QUESTION EXCLAMATION MARK,ESTION MARK, EXCLAMATION MARK
2047,003F 003F,⁇,??,DOUBLE QUESTION MARK,ESTION MARK, QUESTION MARK
2E2E,061F,⸮,‎؟‎,REVERSED QUESTION MARK,ABIC QUESTION MARK
1D16D,002E,𝅭,.,MUSICAL SYMBOL COMBINING AUGMENTATION DOT,LL STOP
2024,002E,․,.,ONE DOT LEADER,LL STOP
0701,002E,‎܁‎,.,SYRIAC SUPRALINEAR FULL STOP,LL STOP
0702,002E,‎܂‎,.,SYRIAC SUBLINEAR FULL STOP,LL STOP
A60E,002E,꘎,.,VAI FULL STOP,LL STOP
10A50,002E,‎𐩐‎,.,KHAROSHTHI PUNCTUATION DOT,LL STOP
0660,002E,‎٠‎,.,ARABIC-INDIC DIGIT ZERO,LL STOP
06F0,002E,۰,.,EXTENDED ARABIC-INDIC DIGIT ZERO,LL STOP
A4F8,002E,ꓸ,.,LISU LETTER TONE MYA TI,LL STOP
A4FB,002E 002C,ꓻ,.,,LISU LETTER TONE MYA BO,LL STOP, COMMA
2025,002E 002E,‥,..,TWO DOT LEADER,LL STOP, FULL STOP
A4FA,002E 002E,ꓺ,..,LISU LETTER TONE MYA CYA,LL STOP, FULL STOP
2026,002E 002E 002E,…,...,HORIZONTAL ELLIPSIS,LL STOP, FULL STOP, FULL STOP
A6F4,A6F3 A6F3,꛴,꛳꛳,BAMUM COLON,MUM FULL STOP, BAMUM FULL STOP
30FB,00B7,・,·,KATAKANA MIDDLE DOT,DDLE DOT
FF65,00B7,･,·,HALFWIDTH KATAKANA MIDDLE DOT,DDLE DOT
16EB,00B7,᛫,·,RUNIC SINGLE PUNCTUATION,DDLE DOT
0387,00B7,·,·,GREEK ANO TELEIA,DDLE DOT
2E31,00B7,⸱,·,WORD SEPARATOR MIDDLE DOT,DDLE DOT
10101,00B7,𐄁,·,AEGEAN WORD SEPARATOR DOT,DDLE DOT
2022,00B7,•,·,BULLET,DDLE DOT
2027,00B7,‧,·,HYPHENATION POINT,DDLE DOT
2219,00B7,∙,·,BULLET OPERATOR,DDLE DOT
22C5,00B7,⋅,·,DOT OPERATOR,DDLE DOT
A78F,00B7,ꞏ,·,LATIN LETTER SINOLOGICAL DOT,DDLE DOT
1427,00B7,ᐧ,·,CANADIAN SYLLABICS FINAL MIDDLE DOT,DDLE DOT
22EF,00B7 00B7 00B7,⋯,···,MIDLINE HORIZONTAL ELLIPSIS,DDLE DOT, MIDDLE DOT, MIDDLE DOT
2D48,00B7 00B7 00B7,ⵈ,···,TIFINAGH LETTER TUAREG YAQ,DDLE DOT, MIDDLE DOT, MIDDLE DOT
1444,00B7 003C,ᑄ,·<,CANADIAN SYLLABICS PWA,DDLE DOT, LESS-THAN SIGN
22D7,00B7 003E,⋗,·>,GREATER-THAN WITH DOT,DDLE DOT, GREATER-THAN SIGN
1437,00B7 003E,ᐷ,·>,CANADIAN SYLLABICS CARRIER HI,DDLE DOT, GREATER-THAN SIGN
1440,00B7 003E,ᑀ,·>,CANADIAN SYLLABICS PWO,DDLE DOT, GREATER-THAN SIGN
152F,00B7 0034,ᔯ,·4,CANADIAN SYLLABICS YWE,DDLE DOT, DIGIT FOUR
147E,00B7 0062,ᑾ,·b,CANADIAN SYLLABICS KWA,DDLE DOT, LATIN SMALL LETTER B
1480,00B7 0062 0307,ᒀ,·ḃ,CANADIAN SYLLABICS KWAA,DDLE DOT, LATIN SMALL LETTER B, COMBINING DOT ABOVE
147A,00B7 0064,ᑺ,·d,CANADIAN SYLLABICS KWO,DDLE DOT, LATIN SMALL LETTER D
1498,00B7 004A,ᒘ,·J,CANADIAN SYLLABICS CWO,DDLE DOT, LATIN CAPITAL LETTER J
14B6,00B7 004C,ᒶ,·L,CANADIAN SYLLABICS MWA,DDLE DOT, LATIN CAPITAL LETTER L
1476,00B7 0050,ᑶ,·P,CANADIAN SYLLABICS KWI,DDLE DOT, LATIN CAPITAL LETTER P
1457,00B7 0055,ᑗ,·U,CANADIAN SYLLABICS TWE,DDLE DOT, LATIN CAPITAL LETTER U
143A,00B7 0056,ᐺ,·V,CANADIAN SYLLABICS PWE,DDLE DOT, LATIN CAPITAL LETTER V
143C,00B7 0245,ᐼ,·Ʌ,CANADIAN SYLLABICS PWI,DDLE DOT, LATIN CAPITAL LETTER TURNED V
14AE,00B7 0393,ᒮ,·Γ,CANADIAN SYLLABICS MWI,DDLE DOT, GREEK CAPITAL LETTER GAMMA
140E,00B7 0394,ᐎ,·Δ,CANADIAN SYLLABICS WI,DDLE DOT, GREEK CAPITAL LETTER DELTA
1459,00B7 0548,ᑙ,·Ո,CANADIAN SYLLABICS TWI,DDLE DOT, ARMENIAN CAPITAL LETTER VO
140C,00B7 1401,ᐌ,·ᐁ,CANADIAN SYLLABICS WE,DDLE DOT, CANADIAN SYLLABICS E
1410,00B7 1404,ᐐ,·ᐄ,CANADIAN SYLLABICS WII,DDLE DOT, CANADIAN SYLLABICS II
1412,00B7 1405,ᐒ,·ᐅ,CANADIAN SYLLABICS WO,DDLE DOT, CANADIAN SYLLABICS O
1414,00B7 1406,ᐔ,·ᐆ,CANADIAN SYLLABICS WOO,DDLE DOT, CANADIAN SYLLABICS OO
1417,00B7 140A,ᐗ,·ᐊ,CANADIAN SYLLABICS WA,DDLE DOT, CANADIAN SYLLABICS A
1419,00B7 140B,ᐙ,·ᐋ,CANADIAN SYLLABICS WAA,DDLE DOT, CANADIAN SYLLABICS AA
143E,00B7 1432,ᐾ,·ᐲ,CANADIAN SYLLABICS PWII,DDLE DOT, CANADIAN SYLLABICS PII
1442,00B7 1434,ᑂ,·ᐴ,CANADIAN SYLLABICS PWOO,DDLE DOT, CANADIAN SYLLABICS POO
1446,00B7 1439,ᑆ,·ᐹ,CANADIAN SYLLABICS PWAA,DDLE DOT, CANADIAN SYLLABICS PAA
145B,00B7 144F,ᑛ,·ᑏ,CANADIAN SYLLABICS TWII,DDLE DOT, CANADIAN SYLLABICS TII
1454,00B7 1450,ᑔ,·ᑐ,CANADIAN SYLLABICS CARRIER DI,DDLE DOT, CANADIAN SYLLABICS TO
145D,00B7 1450,ᑝ,·ᑐ,CANADIAN SYLLABICS TWO,DDLE DOT, CANADIAN SYLLABICS TO
145F,00B7 1451,ᑟ,·ᑑ,CANADIAN SYLLABICS TWOO,DDLE DOT, CANADIAN SYLLABICS TOO
1461,00B7 1455,ᑡ,·ᑕ,CANADIAN SYLLABICS TWA,DDLE DOT, CANADIAN SYLLABICS TA
